run_id,label,time,epoch,id_loss,tri_loss,msel_loss,dcl_loss,total_loss,acc
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-12:44:19,0,11.939231,7.6401796,0.0,0.0,19.579418,0.009720726
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-12:51:04,1,10.126752,2.0110748,0.0,0.0,12.137829,0.16989942
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-12:58:48,2,5.6328864,0.5408164,0.0,0.0,6.173704,0.45896193
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:05:40,3,2.4928038,0.27152792,0.0,0.0,2.7643282,0.74656516
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:13:29,4,1.2606517,0.1718427,0.0,0.0,1.4324939,0.8653466
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:20:24,5,0.8589818,0.13364756,0.0,0.0,0.9926294,0.90261316
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:28:28,6,0.6677446,0.19818282,0.12619108,0.31205195,1.3041708,0.922324
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:35:36,7,0.4902099,0.12814607,0.06634957,0.30118316,0.98588866,0.9405756
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:43:50,8,0.40802458,0.099820085,0.05284626,0.29235926,0.8530506,0.9497575
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:51:10,9,0.3281971,0.078707,0.04448323,0.28241426,0.7338019,0.9577721
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-13:59:31,10,0.27419856,0.0680483,0.038211577,0.2733367,0.6537953,0.96466416
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:06:47,11,0.23472345,0.058381397,0.03327702,0.26393977,0.5903217,0.96875
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:14:55,12,0.21894386,0.052268993,0.0291204,0.2556561,0.5559894,0.9716011
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:22:11,13,0.1856212,0.04542217,0.025966117,0.24553819,0.50254744,0.9757543
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:30:19,14,0.14679708,0.040548418,0.022264516,0.23653491,0.44614506,0.98073816
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:37:24,15,0.12775788,0.036929514,0.020126907,0.2273455,0.4121599,0.9828933
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:45:31,16,0.096313424,0.032755002,0.018391352,0.21867695,0.36613655,0.9872261
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-14:52:48,17,0.09250748,0.031888127,0.016464647,0.20981176,0.3506722,0.9875404
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:00:56,18,0.08281545,0.027564555,0.01543858,0.20335457,0.32917345,0.9892466
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:08:06,19,0.0625571,0.025990656,0.014468855,0.19462782,0.2976444,0.99194056
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:16:20,20,0.06326156,0.024792269,0.013440528,0.19129299,0.2927873,0.991963
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:23:36,21,0.05685221,0.024930866,0.0129672205,0.18775056,0.28250098,0.99252427
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:31:57,22,0.058487773,0.023023158,0.012482638,0.18558763,0.2795813,0.99238956
pmt_recipe_288_768_no_projection,"288x144, 768 no-proj",2026-06-19-15:39:23,23,0.052910745,0.023928579,0.012392603,0.1839453,0.2731773,0.99346715
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-05:47:19,0,11.90856,12.365803,0.0,0.0,24.274378,0.01647809
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-05:51:59,1,8.45896,3.007791,0.0,0.0,11.46675,0.23334232
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-05:57:39,2,3.7137482,0.76368827,0.0,0.0,4.4774327,0.5955909
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:02:21,3,1.8378838,0.3873166,0.0,0.0,2.2252007,0.7778601
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:08:01,4,1.1510541,0.25242838,0.0,0.0,1.4034824,0.8543463
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:12:42,5,0.93776834,0.20462573,0.0,0.0,1.1423934,0.87841237
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:18:29,6,0.8420373,0.31722197,0.19145444,0.32596114,1.6766748,0.889278
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:23:18,7,0.629885,0.18844959,0.10416987,0.31237674,1.2348815,0.9163748
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:29:03,8,0.5453217,0.15523505,0.088308305,0.3034627,1.0923281,0.9264547
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:33:53,9,0.46103913,0.124362,0.07639988,0.2939714,0.9557716,0.9390266
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:39:41,10,0.38715994,0.1062014,0.06835946,0.2863781,0.8480997,0.94692886
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:44:28,11,0.35434538,0.09675198,0.060706884,0.2817411,0.79354525,0.95103717
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:50:11,12,0.2816495,0.079317406,0.054496206,0.2733044,0.6887672,0.9606232
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-06:54:57,13,0.24403554,0.06449148,0.047113046,0.26518637,0.6208264,0.9674928
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:00:40,14,0.18973224,0.055215385,0.042393934,0.25823405,0.545576,0.9738012
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:05:25,15,0.1712758,0.04972992,0.03774823,0.2518656,0.5106197,0.97662985
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:11:09,16,0.13749151,0.044094373,0.034067888,0.24570099,0.4613549,0.98103
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:15:54,17,0.11520604,0.039893292,0.030574158,0.23765661,0.42333007,0.9843525
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:21:37,18,0.092126645,0.033333216,0.028389607,0.23099774,0.38484702,0.9874057
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:26:21,19,0.079251714,0.031592146,0.025558136,0.2238273,0.36022952,0.9889772
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:32:00,20,0.07323485,0.030179212,0.023884092,0.22021523,0.34751335,0.98920166
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:36:46,21,0.065430984,0.029151244,0.022519521,0.21671928,0.333821,0.9902344
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:42:29,22,0.06647407,0.027414916,0.021720111,0.21452175,0.33013085,0.9909303
pmt_recipe_288_2048_projection,"288x144, 2048 proj",2026-06-19-07:47:16,23,0.058607075,0.026996454,0.021413215,0.21269706,0.31971374,0.99162626
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-05:47:20,0,11.9086685,12.475067,0.0,0.0,24.383749,0.017578125
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-05:52:48,1,8.504924,3.0162058,0.0,0.0,11.521136,0.22988506
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-05:59:10,2,3.796491,0.7870833,0.0,0.0,4.5835733,0.58497214
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:04:51,3,1.8841859,0.40774712,0.0,0.0,2.2919316,0.76971084
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:11:24,4,1.1597847,0.2564617,0.0,0.0,1.4162463,0.85329115
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:17:10,5,0.9131118,0.19822627,0.0,0.0,1.1113379,0.8806573
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:23:48,6,0.858293,0.3176817,0.19206385,0.3262506,1.694291,0.88734734
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:29:38,7,0.6289929,0.19021015,0.104827136,0.31221476,1.2362446,0.91507274
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:36:22,8,0.52587265,0.15169601,0.08797958,0.30212542,1.0676732,0.93083245
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:42:13,9,0.44547924,0.12416281,0.07671922,0.29422036,0.94058233,0.9403062
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:48:56,10,0.37280583,0.0990257,0.06657596,0.28434974,0.8227574,0.9502739
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-06:54:50,11,0.31633508,0.08666,0.059936885,0.27796948,0.7409012,0.95671695
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:01:40,12,0.28375882,0.07625376,0.052626986,0.27227786,0.6849173,0.96206
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:07:32,13,0.23052035,0.062473882,0.046500754,0.26438344,0.60387856,0.9678969
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:14:16,14,0.19078451,0.053059116,0.042247415,0.2566727,0.542764,0.97368896
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:20:09,15,0.16146727,0.046590537,0.0385864,0.25015688,0.49680066,0.9770115
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:26:55,16,0.13314226,0.043184873,0.033939846,0.2433382,0.45360485,0.9808279
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:32:51,17,0.113159366,0.03745749,0.029812045,0.23567687,0.4161055,0.9839709
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:39:41,18,0.090788975,0.03241269,0.027385771,0.22994043,0.38052815,0.9869792
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:45:36,19,0.07593279,0.029578082,0.024980294,0.22249421,0.35298532,0.9892915
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:52:31,20,0.067621954,0.028284898,0.023766318,0.21814932,0.3378223,0.9904813
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-07:58:40,21,0.05888847,0.026641706,0.021973664,0.21449815,0.32200193,0.9913344
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-08:05:39,22,0.05883497,0.026886614,0.022033913,0.21124555,0.3190011,0.9913793
pmt_recipe_256_2048_projection,"256x128, 2048 proj",2026-06-19-08:11:44,23,0.05167197,0.02629284,0.021469934,0.2096973,0.30913207,0.99272627
